,M0(t=0),M0(t=1),M0(t=2),M0(t=3),M0(t=4),M0(t=5),M0(t=6),M0(t=7),M0(t=8),M0(t=9),M0(t=10),M0(t=11),M0(t=12),M0(t=13),M0(t=14),M0(t=15),M0(t=16),M0(t=17),M0(t=18),M1(t=0),M1(t=1),M1(t=2),M1(t=3),M1(t=4),M1(t=5),M1(t=6),M1(t=7),M1(t=8),M1(t=9),M1(t=10),M1(t=11),M1(t=12),M1(t=13),M1(t=14),M1(t=15),M1(t=16),M1(t=17),M1(t=18),M2(t=0),M2(t=1),M2(t=2),M2(t=3),M2(t=4),M2(t=5),M2(t=6),M2(t=7),M2(t=8),M2(t=9),M2(t=10),M2(t=11),M2(t=12),M2(t=13),M2(t=14),M2(t=15),M2(t=16),M2(t=17),M2(t=18),M3(t=0),M3(t=1),M3(t=2),M3(t=3),M3(t=4),M3(t=5),M3(t=6),M3(t=7),M3(t=8),M3(t=9),M3(t=10),M3(t=11),M3(t=12),M3(t=13),M3(t=14),M3(t=15),M3(t=16),M3(t=17),M3(t=18),M4(t=0),M4(t=1),M4(t=2),M4(t=3),M4(t=4),M4(t=5),M4(t=6),M4(t=7),M4(t=8),M4(t=9),M4(t=10),M4(t=11),M4(t=12),M4(t=13),M4(t=14),M4(t=15),M4(t=16),M4(t=17),M4(t=18),M5(t=0),M5(t=1),M5(t=2),M5(t=3),M5(t=4),M5(t=5),M5(t=6),M5(t=7),M5(t=8),M5(t=9),M5(t=10),M5(t=11),M5(t=12),M5(t=13),M5(t=14),M5(t=15),M5(t=16),M5(t=17),M5(t=18),M6(t=0),M6(t=1),M6(t=2),M6(t=3),M6(t=4),M6(t=5),M6(t=6),M6(t=7),M6(t=8),M6(t=9),M6(t=10),M6(t=11),M6(t=12),M6(t=13),M6(t=14),M6(t=15),M6(t=16),M6(t=17),M6(t=18),M7(t=0),M7(t=1),M7(t=2),M7(t=3),M7(t=4),M7(t=5),M7(t=6),M7(t=7),M7(t=8),M7(t=9),M7(t=10),M7(t=11),M7(t=12),M7(t=13),M7(t=14),M7(t=15),M7(t=16),M7(t=17),M7(t=18),M8(t=0),M8(t=1),M8(t=2),M8(t=3),M8(t=4),M8(t=5),M8(t=6),M8(t=7),M8(t=8),M8(t=9),M8(t=10),M8(t=11),M8(t=12),M8(t=13),M8(t=14),M8(t=15),M8(t=16),M8(t=17),M8(t=18),M9(t=0),M9(t=1),M9(t=2),M9(t=3),M9(t=4),M9(t=5),M9(t=6),M9(t=7),M9(t=8),M9(t=9),M9(t=10),M9(t=11),M9(t=12),M9(t=13),M9(t=14),M9(t=15),M9(t=16),M9(t=17),M9(t=18)
0,health,health,health,guidance,consult,ends,accommodate,accommodate,accommodate,february,nasal,extremely,extremely,lower,coronavirus,coronavirus,coronavirus,coronavirus,coronavirus,china,passengers,passengers,passengers,turkish,rescue,rescue,teleconference,teleconference,committed,purchasing,predict,predict,johnson,coronavirus,coronavirus,coronavirus,coronavirus,banning,april,april,april,april,crowds,cpc,cpc,cpc,oman,mongolia,neighborhoods,neighborhoods,neighborhoods,neighborhoods,neighborhoods,stating,quarantine,covid,covid,masks,masks,masks,masks,ministerial,malawi,rica,rica,services,april,april,violence,initiated,malawi,malawi,honduras,committed,bazar,bazar,covid,covid,covid,coronavirus,pandemic,pandemic,pandemic,assay,assay,yokohama,voyage,studying,studying,mauritius,taskforce,rumors,rumors,semi,semi,million,million,million,pandemic,covid,covid,tests,catching,heilongjiang,pace,treatment,eating,gowns,balance,downtown,care,count,count,count,coronavirus,coronavirus,due,postponed,junior,junior,catholic,postponement,music,nighttime,nighttime,nighttime,covid,medicines,refund,submitted,colleagues,sense,care,coronavirus,coronavirus,coronavirus,medical,medical,country,country,coronavirus,coronavirus,covid,covid,covid,covid,covid,ambulances,covid,covid,covid,residents,cases,cases,cases,shincheonji,fort,fort,fort,seniors,seniors,cruz,november,helps,activate,helps,marathon,marathon,kenyan,gmt,gmt,canada,canada,canada,teachers,ramp,foot,happen,happen,disembarked,disembarked,westerdam,philippine,armenia,armenia,concerts,concerts,easily,receptor,cards
1,covid,covid,covid,health,fees,accommodate,ends,ends,ends,kazakhstan,mission,nasal,iom,lives,spread,government,camp,virus,rest,passengers,china,korea,turkish,airways,leone,unemployment,rescue,unhcr,unhcr,networks,revise,characteristics,predict,security,including,including,covid,means,announced,announced,measures,government,stores,directives,spouses,spouses,exemptions,neighborhoods,rescheduled,venezuela,curfews,curfews,taxis,vessels,covid,disease,disease,face,face,face,sanitation,malawi,ministerial,guided,applicable,april,emergency,emergency,modified,modified,fitr,rescue,committed,sales,activate,grants,patients,patients,coronavirus,national,coronavirus,coronavirus,effort,occurring,enrolled,slated,guam,transited,transited,taskforce,flying,teams,mission,rumors,shincheonji,equipment,food,food,food,working,tests,covid,originated,catching,cluster,eating,gowns,secure,shelter,balance,confirms,confirms,taiwanese,violators,march,march,march,concerns,museum,museum,music,music,absolutely,malawi,malawi,buy,pandemic,pandemic,push,addis,internationally,care,sense,medical,medical,medical,coronavirus,country,medical,brought,country,covid,coronavirus,coronavirus,disease,disease,symptom,evacuated,previously,health,home,home,health,health,positive,classified,patrols,patrols,seniors,fort,fraudulent,november,unique,activation,displaced,displaced,mitigating,kenyan,marathon,kenyan,kenyan,government,care,students,ford,meals,nighttime,foot,disembarked,happen,piedmont,disembarked,westerdam,philippine,freely,armenia,convalescent,fiocruz,proportion,hotspots
2,public,response,guidance,response,phe,consult,sus,semi,shortened,declare,concluded,mission,pediatric,iom,lower,spread,announced,media,acid,travel,travel,travel,flights,coronavirus,ogun,pork,unemployment,spending,proposal,predict,learning,physicians,approximately,covid,covid,covid,capital,fast,measures,measures,announced,measures,government,crowds,oman,oman,stating,cpc,mongolia,greek,expire,fish,completion,boat,addition,addition,addition,military,temperature,wear,metro,concerts,golf,applicable,cited,essential,social,social,inter,foot,initiated,played,rescue,sustainable,consult,activate,virus,study,patients,virus,national,national,president,strains,sit,voyage,transited,herzegovina,mauritius,macao,mauritius,reference,semi,medical,rumors,food,equipment,pandemic,covid,tests,health,hospitals,droplets,originated,heilongjiang,test,capitals,palestine,supplied,consisting,describes,describes,quoted,marks,outbreak,outbreak,outbreak,league,calendar,catholic,postponement,catholic,abide,sit,theatres,ramadan,ensure,unemployment,olympics,deeply,sense,internationally,internationally,ministry,ministry,ministry,country,coronavirus,china,march,brought,sessions,participating,disease,people,people,ambulances,visited,aboard,including,residents,covid,coronavirus,confirmed,tested,liberia,shincheonji,yokohama,memo,phases,protein,fraudulent,user,november,helps,activate,fragile,anvisa,challenging,piedmont,limits,care,canadian,ontario,students,ford,ramp,mozambique,chengdu,istanbul,westerdam,piedmont,guatemalan,freely,agricultural,convalescent,towns,usda,prominent,trained
3,response,countries,response,systems,initiatives,cancellations,coping,sus,cancellations,seaports,highlights,auto,auto,spring,government,lower,minister,people,virus,days,italy,hong,port,ogun,decontaminate,receptor,spending,proposal,spending,committed,targeting,administered,smartphone,including,emergency,outbreak,outbreak,nearby,march,lockdown,public,state,directives,refund,montenegro,montenegro,tel,obliged,bio,music,venezuela,expire,umrah,placing,international,states,including,temperature,military,temperature,vehicles,fishing,crises,cited,liechtenstein,social,essential,essential,cars,urban,pubs,pennsylvania,pennsylvania,club,employer,consult,research,vaccine,virus,called,spread,health,covid,medrxiv,slated,rent,macao,voyage,westerdam,westerdam,applicable,flying,airports,ministry,numbers,pandemic,pandemic,equipment,including,people,people,nhs,finished,reason,voted,patients,palestine,eating,downtown,shelter,malawi,adjust,yuan,tropical,due,due,postponed,due,music,calendar,junior,attractions,celebrations,abide,roads,theatres,fight,push,sections,law,clinically,daycare,plan,spread,spread,country,ministry,government,coronavirus,coronavirus,march,effective,progress,phase,phase,phase,hospital,icu,iata,time,day,hours,people,people,confirmed,sierra,taxi,stating,phases,phase,phase,scenarios,fraudulent,profit,threats,reaction,figure,figure,piedmont,grocery,piedmont,covid,ontario,quebec,ramp,teachers,santiago,chengdu,casinos,expired,waters,malaysian,liechtenstein,energy,wishing,energy,swiftly,receptor,fiocruz,acquired
4,countries,public,prevention,referral,mining,fees,febraury,consists,prohibiting,sustained,auto,hosted,lives,representative,announced,camp,government,acid,media,italy,korea,italy,japan,granted,fridays,leone,hosting,unemployment,rights,rights,join,pilot,administered,state,march,march,including,live,authorities,public,government,public,transport,limits,mauritius,lungs,missions,ordering,greek,expire,sierra,rallies,nationalities,undergo,flights,international,states,police,wear,mask,wear,music,waters,transiting,finland,gender,services,pandemic,additionally,malawi,bakeries,greek,teleconference,unhcr,electricity,electricity,study,clinical,study,pandemic,health,spread,health,dangerous,dangerous,enforcing,czechia,usa,thirds,emilia,macao,serve,teams,shincheonji,preventative,supplies,protective,protective,approved,health,testing,single,specialized,specialized,xi,maryland,messaging,messaging,secure,revenue,accommodation,statistics,violators,taiwanese,china,china,cancelled,cancelled,cancelling,music,soccer,exams,lufthansa,music,ramadan,museums,medicines,fight,unemployment,worried,expedite,plan,health,country,country,spread,government,ministry,threat,libya,sessions,progress,final,deaths,health,time,icu,fail,evacuated,people,people,previously,confirmed,coronavirus,symptoms,kcdc,kcdc,bakeries,happen,manitoba,ages,ages,needing,teleconference,portion,portion,helps,sessions,sessions,romagna,romagna,minister,schools,canadian,learning,happen,ogun,casinos,noon,salons,stating,liechtenstein,dock,days,energy,nightclubs,inhabitants,pathogen,diabetes,society
5,information,guidance,information,care,actors,malawi,shincheonji,rumors,sus,prohibiting,developers,concluded,dedicated,coronavirus,minister,minister,media,rest,natural,flights,flights,flights,foreign,port,studied,music,ihr,committed,teleconference,learning,eventually,targeting,pilot,announced,public,state,fast,cleared,public,remain,lockdown,spread,police,organised,maldives,piedmont,cpc,stating,obliged,bio,countrywide,hair,fish,nationalities,vessels,including,international,hand,police,military,disinfected,indoor,fishing,maryland,denmark,continue,continue,services,wearing,additionally,sundays,governorates,club,refugees,grants,complaints,vaccine,drug,vaccine,spread,outbreak,effort,coronavirus,enrolled,bio,guam,marshall,thirds,voyage,romagna,emilia,representative,designated,country,dead,protective,supplies,support,million,phase,demonstrated,droplets,liberia,contracting,gulf,palestine,treatment,thousand,detention,half,consisting,figure,describes,quoted,february,scheduled,scheduled,held,spring,remotely,organizing,railways,exams,theatres,fitr,salons,worker,consumers,criticism,initiatives,melbourne,news,news,government,government,government,spread,china,libya,united,international,spread,deaths,progress,coronavirus,health,pain,prove,prove,related,previously,passenger,virus,tested,hospital,miles,yokohama,codes,notes,happen,prolonged,user,cruz,appeal,teleconference,mitigating,portion,portion,postponement,evacuees,scotia,health,students,care,semester,digital,journeys,nighttime,formally,relatives,sanctioned,philippine,armenia,inspected,affirms,hundred,roche,combination,oral,imminent
6,care,prevention,countries,action,abundance,incident,cuban,shincheonji,sustained,albania,stand,presenting,representative,extent,april,announced,release,violence,chinese,february,days,china,travel,rica,restaurant,hosting,messaging,rescue,rent,ipc,households,cured,finished,started,security,emergency,disease,affecting,restrictions,march,state,lockdown,ordered,countrywide,refund,tel,nationality,oman,frequently,restart,meters,taxis,stating,lithuania,disease,cdc,cdc,wear,disinfection,police,green,separately,guided,liechtenstein,plan,home,list,measures,essential,benin,karaoke,livestock,livestock,transparent,rescue,rohingya,clinical,research,drug,covid,called,outbreak,national,sit,rent,czechia,consulate,marshall,marshall,studying,institutional,nam,cuba,minimise,minimise,support,supply,supply,emergency,testing,patients,worker,represents,droplets,maryland,pyongyang,thousand,detention,door,sanitizers,traveler,starts,relation,classified,president,cancelled,concerns,committee,remotely,memo,calendar,organizing,protesters,absolutely,salons,domestically,buy,olympics,deeply,establishment,daycare,announce,work,minister,minister,minister,outbreak,outbreak,ministry,international,spread,final,effective,people,patients,based,directly,repatriated,wuhan,previously,time,previous,covid,hospital,quarantine,benin,stating,museums,marks,ages,ve,nearest,nearest,unique,piedmont,marathon,internationally,helps,gmt,responded,grocery,schools,school,canadians,happen,examinations,bridge,nurseries,austrian,malaysian,km,voyage,malaysian,allowed,ghana,freely,minor,roche,hotspots,stocks
7,guidance,information,preparedness,strengthening,incident,shincheonji,maintenance,coping,istanbul,mission,thought,circulating,nasal,investigations,uganda,release,spread,including,stayed,quarantine,hong,japan,transited,incoming,santiago,features,unhcr,posed,purchasing,continuity,purchasing,diagnosis,diagnosis,emergency,international,ministry,quarantine,indefinitely,government,closed,place,country,security,armenia,armenia,lumpur,mongolia,missions,ordering,fish,restart,countrywide,placing,umrah,stating,quarantine,coronavirus,medical,mask,distance,face,countermeasures,thirds,laid,directive,emergency,institutions,percent,earliest,cars,governorates,written,countrywide,shipments,rohingya,imposition,drug,virus,test,part,part,covid,made,president,modified,consulate,yokohama,macao,rep,thirds,evacuating,semi,coughing,airports,inhabitants,supply,support,production,working,emergency,hospitals,specialized,confirmation,strike,throat,gulf,integrated,wildlife,sanitizers,excess,figure,accommodation,gilan,coordinator,week,postponed,held,cabinet,players,soccer,railways,soccer,catholic,protesters,domestically,malls,property,stressed,caused,rescue,formally,colleagues,approach,outbreak,outbreak,outbreak,china,health,outbreak,paraguay,friday,march,spread,latest,tests,found,people,male,hospital,day,hours,leave,hospital,symptoms,contact,positive,arrested,describe,recreational,scotia,staggered,reflects,benefits,activate,activation,shipped,staffed,fragile,expired,challenging,responded,canadian,government,teachers,examinations,offenders,happen,examinations,club,piedmont,stadiums,waters,barbuda,reduced,operate,success,hundred,efficacy,bergamo,prominent
8,prevention,support,support,contingency,layer,verified,semi,febraury,classified,china,cured,pediatric,accounts,tracking,outbreak,april,virus,fast,violence,korea,nationals,nationals,hong,learn,karaoke,studied,pork,cargill,continuity,strategies,connected,lab,surfaces,april,state,quarantine,means,danger,lockdown,authorities,remain,stores,holidays,cameras,lumpur,nam,montenegro,accredited,associations,drafted,rallies,stricter,curfews,difficulty,cdc,public,public,disinfection,hand,disinfected,st,journeys,maryland,teacher,services,international,pandemic,violence,ramadan,ukrainian,ukrainian,spectators,electricity,fish,sustainable,rescue,coronavirus,coronavirus,published,fight,world,working,spread,cure,serbia,transited,westerdam,bahrain,bahrain,cancellations,ireland,ireland,contact,control,night,production,production,company,kits,greater,nhs,patients,mail,pace,pyongyang,talks,pyongyang,consortium,revenue,sought,province,institution,confirms,rio,chinese,committee,coronavirus,meeting,league,suit,museum,celebrations,malawi,sanctioned,sit,injuries,sector,criticism,worried,caused,build,health,taking,prevent,prevent,media,minister,spread,february,outbreak,including,male,sessions,health,time,begin,alberta,directly,americans,home,days,day,symptoms,positive,infected,tough,codes,obligatory,brunswick,brunswick,unions,fiocruz,activation,picture,describe,barcelona,pick,principles,mauritius,limits,evacuees,school,canadians,schools,physical,nurseries,beauty,beauty,relatives,courts,holland,stating,cayman,guatemalan,refugee,suspensions,sized,minor,combination,reuse
