time,topic,topic_value,source
0,0,0.049106113612651825,official
0,1,0.14985735714435577,official
0,2,0.010286078788340092,official
0,3,0.012184496968984604,official
0,4,0.22746020555496216,official
0,5,0.03200201317667961,official
0,6,0.010767300613224506,official
0,7,0.07613793760538101,official
0,8,0.0499548502266407,official
0,9,0.3822437524795532,official
1,0,0.050436049699783325,official
1,1,0.16120104491710663,official
1,2,0.010347053408622742,official
1,3,0.012220397591590881,official
1,4,0.22187426686286926,official
1,5,0.03208976238965988,official
1,6,0.010957516729831696,official
1,7,0.07649632543325424,official
1,8,0.05191326513886452,official
1,9,0.3724643290042877,official
2,0,0.05500262230634689,official
2,1,0.14196175336837769,official
2,2,0.01129151601344347,official
2,3,0.013036936521530151,official
2,4,0.2527201771736145,official
2,5,0.03540172055363655,official
2,6,0.012087186798453331,official
2,7,0.0760435238480568,official
2,8,0.058072689920663834,official
2,9,0.3443818688392639,official
3,0,0.062259215861558914,official
3,1,0.13513588905334473,official
3,2,0.01209456566721201,official
3,3,0.014091921038925648,official
3,4,0.298383504152298,official
3,5,0.04210096597671509,official
3,6,0.013385019265115261,official
3,7,0.07366844266653061,official
3,8,0.06355541199445724,official
3,9,0.2853250503540039,official
4,0,0.07369976490736008,official
4,1,0.12442833185195923,official
4,2,0.012848307378590107,official
4,3,0.0153767429292202,official
4,4,0.36504173278808594,official
4,5,0.048116374760866165,official
4,6,0.014971430413424969,official
4,7,0.07017463445663452,official
4,8,0.06502670049667358,official
4,9,0.21031583845615387,official
5,0,0.08897927403450012,official
5,1,0.10764577984809875,official
5,2,0.014130355790257454,official
5,3,0.017118288204073906,official
5,4,0.42054861783981323,official
5,5,0.04962624981999397,official
5,6,0.016522446647286415,official
5,7,0.06769131124019623,official
5,8,0.06599343568086624,official
5,9,0.1517443060874939,official
6,0,0.10991670936346054,official
6,1,0.09010883420705795,official
6,2,0.015970120206475258,official
6,3,0.01952582225203514,official
6,4,0.45728614926338196,official
6,5,0.04601455107331276,official
6,6,0.018174007534980774,official
6,7,0.06650009006261826,official
6,8,0.0667693093419075,official
6,9,0.10973433405160904,official
7,0,0.13587886095046997,official
7,1,0.07519720494747162,official
7,2,0.018093125894665718,official
7,3,0.02250693179666996,official
7,4,0.4701685905456543,official
7,5,0.040614545345306396,official
7,6,0.020044570788741112,official
7,7,0.06657006591558456,official
7,8,0.0695597231388092,official
7,9,0.08136636018753052,official
8,0,0.15798267722129822,official
8,1,0.06342087686061859,official
8,2,0.020086560398340225,official
8,3,0.02568790316581726,official
8,4,0.4682759642601013,official
8,5,0.0351434126496315,official
8,6,0.022262783721089363,official
8,7,0.06726239621639252,official
8,8,0.07468680292367935,official
8,9,0.06519079208374023,official
9,0,0.17322874069213867,official
9,1,0.05242159217596054,official
9,2,0.022004395723342896,official
9,3,0.025958111509680748,official
9,4,0.4764319956302643,official
9,5,0.028034327551722527,official
9,6,0.023920850828289986,official
9,7,0.06436479836702347,official
9,8,0.07963255047798157,official
9,9,0.05400259792804718,official
10,0,0.1841956526041031,official
10,1,0.04306117445230484,official
10,2,0.023652007803320885,official
10,3,0.024257048964500427,official
10,4,0.48811087012290955,official
10,5,0.02214801125228405,official
10,6,0.025133349001407623,official
10,7,0.05968368798494339,official
10,8,0.08533326536417007,official
10,9,0.04442482069134712,official
11,0,0.19431954622268677,official
11,1,0.03537575155496597,official
11,2,0.024803780019283295,official
11,3,0.021739410236477852,official
11,4,0.5010348558425903,official
11,5,0.017352528870105743,official
11,6,0.025776438415050507,official
11,7,0.05407668277621269,official
11,8,0.08976521342992783,official
11,9,0.03575592860579491,official
12,0,0.20363838970661163,official
12,1,0.02997243031859398,official
12,2,0.025736628100275993,official
12,3,0.019959861412644386,official
12,4,0.5077236294746399,official
12,5,0.014110001735389233,official
12,6,0.026176048442721367,official
12,7,0.049886222928762436,official
12,8,0.09343723952770233,official
12,9,0.02935955487191677,official
13,0,0.21056242287158966,official
13,1,0.02653748169541359,official
13,2,0.026830505579710007,official
13,3,0.018706370145082474,official
13,4,0.5104063749313354,official
13,5,0.012001915834844112,official
13,6,0.026466140523552895,official
13,7,0.046986207365989685,official
13,8,0.09608189761638641,official
13,9,0.02542067877948284,official
14,0,0.2137184888124466,official
14,1,0.024423331022262573,official
14,2,0.027885645627975464,official
14,3,0.017556848004460335,official
14,4,0.5133675336837769,official
14,5,0.010627810843288898,official
14,6,0.02647438831627369,official
14,7,0.044924575835466385,official
14,8,0.09780628979206085,official
14,9,0.023215217515826225,official
15,0,0.215903177857399,official
15,1,0.02357523888349533,official
15,2,0.028950834646821022,official
15,3,0.0173705592751503,official
15,4,0.5100315809249878,official
15,5,0.010169243440032005,official
15,6,0.02701733447611332,official
15,7,0.044500384479761124,official
15,8,0.10022904723882675,official
15,9,0.022252675145864487,official
16,0,0.2164587676525116,official
16,1,0.02298041433095932,official
16,2,0.02968422695994377,official
16,3,0.016998158767819405,official
16,4,0.5106186270713806,official
16,5,0.009714651852846146,official
16,6,0.02707909420132637,official
16,7,0.04390815645456314,official
16,8,0.10083047300577164,official
16,9,0.021727429702878,official
17,0,0.2167244553565979,official
17,1,0.022728875279426575,official
17,2,0.030254991725087166,official
17,3,0.01691354624927044,official
17,4,0.5093459486961365,official
17,5,0.009543845430016518,official
17,6,0.02729719877243042,official
17,7,0.043790679425001144,official
17,8,0.10189508646726608,official
17,9,0.021505197510123253,official
18,0,0.21677733957767487,official
18,1,0.022586489096283913,official
18,2,0.03065480664372444,official
18,3,0.016876762732863426,official
18,4,0.5086433291435242,official
18,5,0.009421530179679394,official
18,6,0.02742716111242771,official
18,7,0.04373840242624283,official
18,8,0.10248703509569168,official
18,9,0.021387074142694473,official
0,0,0.04000787436962128,media
0,1,0.3401956260204315,media
0,2,0.008554251864552498,media
0,3,0.03114786371588707,media
0,4,0.024395979940891266,media
0,5,0.17012576758861542,media
0,6,0.022567089647054672,media
0,7,0.06267004460096359,media
0,8,0.04810742661356926,media
0,9,0.25222811102867126,media
1,0,0.041375722736120224,media
1,1,0.32403528690338135,media
1,2,0.00881913397461176,media
1,3,0.03069036267697811,media
1,4,0.02612140402197838,media
1,5,0.18436533212661743,media
1,6,0.023821746930480003,media
1,7,0.06777459383010864,media
1,8,0.05182463675737381,media
1,9,0.2411716878414154,media
2,0,0.04734092205762863,media
2,1,0.28148725628852844,media
2,2,0.009741352871060371,media
2,3,0.03153308480978012,media
2,4,0.031832948327064514,media
2,5,0.21885345876216888,media
2,6,0.027315622195601463,media
2,7,0.0765562430024147,media
2,8,0.059268027544021606,media
2,9,0.21607130765914917,media
3,0,0.047041334211826324,media
3,1,0.2617737650871277,media
3,2,0.010034319013357162,media
3,3,0.033831626176834106,media
3,4,0.03378075361251831,media
3,5,0.2879147529602051,media
3,6,0.030900627374649048,media
3,7,0.07159052044153214,media
3,8,0.061529822647571564,media
3,9,0.1616024225950241,media
4,0,0.04477224498987198,media
4,1,0.2552475035190582,media
4,2,0.010001406073570251,media
4,3,0.035416167229413986,media
4,4,0.031517818570137024,media
4,5,0.3893566131591797,media
4,6,0.03227506950497627,media
4,7,0.058539923280477524,media
4,8,0.049354005604982376,media
4,9,0.0935191661119461,media
5,0,0.04872066527605057,media
5,1,0.23717086017131805,media
5,2,0.011687254533171654,media
5,3,0.044805094599723816,media
5,4,0.02937374822795391,media
5,5,0.4396778643131256,media
5,6,0.03646678477525711,media
5,7,0.05557907000184059,media
5,8,0.03956514596939087,media
5,9,0.05695369839668274,media
6,0,0.06757289171218872,media
6,1,0.20674516260623932,media
6,2,0.01744864322245121,media
6,3,0.07570921629667282,media
6,4,0.0344528965651989,media
6,5,0.38767945766448975,media
6,6,0.05135049670934677,media
6,7,0.06800153106451035,media
6,8,0.043653350323438644,media
6,9,0.0473862923681736,media
7,0,0.09356020390987396,media
7,1,0.16928155720233917,media
7,2,0.02691745199263096,media
7,3,0.1299891620874405,media
7,4,0.04425988718867302,media
7,5,0.27219200134277344,media
7,6,0.0705176517367363,media
7,7,0.09020465612411499,media
7,8,0.05542115494608879,media
7,9,0.04765636473894119,media
8,0,0.10752586275339127,media
8,1,0.13158473372459412,media
8,2,0.03399325907230377,media
8,3,0.19333113729953766,media
8,4,0.04323999956250191,media
8,5,0.1911877542734146,media
8,6,0.08687622100114822,media
8,7,0.10494789481163025,media
8,8,0.0646045133471489,media
8,9,0.04270867630839348,media
9,0,0.11331157386302948,media
9,1,0.09685330092906952,media
9,2,0.03805717080831528,media
9,3,0.2770896255970001,media
9,4,0.03625531867146492,media
9,5,0.13446012139320374,media
9,6,0.09947919845581055,media
9,7,0.10385998338460922,media
9,8,0.06579062342643738,media
9,9,0.03484288975596428,media
10,0,0.1117965430021286,media
10,1,0.07050976902246475,media
10,2,0.04308781400322914,media
10,3,0.3581555187702179,media
10,4,0.028986956924200058,media
10,5,0.09255899488925934,media
10,6,0.10783255100250244,media
10,7,0.09394761919975281,media
10,8,0.0647086501121521,media
10,9,0.028415661305189133,media
11,0,0.11002244800329208,media
11,1,0.054472554475069046,media
11,2,0.05748516693711281,media
11,3,0.38182100653648376,media
11,4,0.025339949876070023,media
11,5,0.06567524373531342,media
11,6,0.12310055643320084,media
11,7,0.08498803526163101,media
11,8,0.07097277790307999,media
11,9,0.026122312992811203,media
12,0,0.10892949998378754,media
12,1,0.044008173048496246,media
12,2,0.08913403749465942,media
12,3,0.33809250593185425,media
12,4,0.02522341161966324,media
12,5,0.049082715064287186,media
12,6,0.15256892144680023,media
12,7,0.07842357456684113,media
12,8,0.08876903355121613,media
12,9,0.025768106803297997,media
13,0,0.1054963693022728,media
13,1,0.03907479718327522,media
13,2,0.13240382075309753,media
13,3,0.26989465951919556,media
13,4,0.02586609311401844,media
13,5,0.03970281779766083,media
13,6,0.18008558452129364,media
13,7,0.07355620712041855,media
13,8,0.10801225155591965,media
13,9,0.025907393544912338,media
14,0,0.10093294084072113,media
14,1,0.037832826375961304,media
14,2,0.1705014854669571,media
14,3,0.21599143743515015,media
14,4,0.02628641203045845,media
14,5,0.035343412309885025,media
14,6,0.19667518138885498,media
14,7,0.06970525532960892,media
14,8,0.120462566614151,media
14,9,0.02626827545464039,media
15,0,0.0994565486907959,media
15,1,0.037533123046159744,media
15,2,0.1920788586139679,media
15,3,0.18596510589122772,media
15,4,0.027390403673052788,media
15,5,0.03338950127363205,media
15,6,0.20295937359333038,media
15,7,0.06780724227428436,media
15,8,0.127011239528656,media
15,9,0.026408769190311432,media
16,0,0.10020405054092407,media
16,1,0.03749433904886246,media
16,2,0.1996464878320694,media
16,3,0.17324654757976532,media
16,4,0.028527604416012764,media
16,5,0.03274000063538551,media
16,6,0.20403248071670532,media
16,7,0.06739285588264465,media
16,8,0.13053274154663086,media
16,9,0.026182614266872406,media
17,0,0.10125745832920074,media
17,1,0.037606194615364075,media
17,2,0.20140258967876434,media
17,3,0.16812333464622498,media
17,4,0.029273297637701035,media
17,5,0.03265300765633583,media
17,6,0.2042195051908493,media
17,7,0.06733866780996323,media
17,8,0.1322932243347168,media
17,9,0.025832749903202057,media
18,0,0.10229837894439697,media
18,1,0.03772483021020889,media
18,2,0.2012721300125122,media
18,3,0.16580641269683838,media
18,4,0.029797537252306938,media
18,5,0.032674964517354965,media
18,6,0.2043045312166214,media
18,7,0.06731211394071579,media
18,8,0.13332150876522064,media
18,9,0.025487689301371574,media
