M0(t=0),M0(t=1),M0(t=2),M0(t=3),M0(t=4),M0(t=5),M0(t=6),M0(t=7),M0(t=8),M0(t=9),M0(t=10),M0(t=11),M0(t=12),M0(t=13),M0(t=14),M0(t=15),M0(t=16),M0(t=17),M0(t=18),M0(t=19),M1(t=0),M1(t=1),M1(t=2),M1(t=3),M1(t=4),M1(t=5),M1(t=6),M1(t=7),M1(t=8),M1(t=9),M1(t=10),M1(t=11),M1(t=12),M1(t=13),M1(t=14),M1(t=15),M1(t=16),M1(t=17),M1(t=18),M1(t=19),M2(t=0),M2(t=1),M2(t=2),M2(t=3),M2(t=4),M2(t=5),M2(t=6),M2(t=7),M2(t=8),M2(t=9),M2(t=10),M2(t=11),M2(t=12),M2(t=13),M2(t=14),M2(t=15),M2(t=16),M2(t=17),M2(t=18),M2(t=19),M3(t=0),M3(t=1),M3(t=2),M3(t=3),M3(t=4),M3(t=5),M3(t=6),M3(t=7),M3(t=8),M3(t=9),M3(t=10),M3(t=11),M3(t=12),M3(t=13),M3(t=14),M3(t=15),M3(t=16),M3(t=17),M3(t=18),M3(t=19),M4(t=0),M4(t=1),M4(t=2),M4(t=3),M4(t=4),M4(t=5),M4(t=6),M4(t=7),M4(t=8),M4(t=9),M4(t=10),M4(t=11),M4(t=12),M4(t=13),M4(t=14),M4(t=15),M4(t=16),M4(t=17),M4(t=18),M4(t=19),M5(t=0),M5(t=1),M5(t=2),M5(t=3),M5(t=4),M5(t=5),M5(t=6),M5(t=7),M5(t=8),M5(t=9),M5(t=10),M5(t=11),M5(t=12),M5(t=13),M5(t=14),M5(t=15),M5(t=16),M5(t=17),M5(t=18),M5(t=19),M6(t=0),M6(t=1),M6(t=2),M6(t=3),M6(t=4),M6(t=5),M6(t=6),M6(t=7),M6(t=8),M6(t=9),M6(t=10),M6(t=11),M6(t=12),M6(t=13),M6(t=14),M6(t=15),M6(t=16),M6(t=17),M6(t=18),M6(t=19),M7(t=0),M7(t=1),M7(t=2),M7(t=3),M7(t=4),M7(t=5),M7(t=6),M7(t=7),M7(t=8),M7(t=9),M7(t=10),M7(t=11),M7(t=12),M7(t=13),M7(t=14),M7(t=15),M7(t=16),M7(t=17),M7(t=18),M7(t=19),M8(t=0),M8(t=1),M8(t=2),M8(t=3),M8(t=4),M8(t=5),M8(t=6),M8(t=7),M8(t=8),M8(t=9),M8(t=10),M8(t=11),M8(t=12),M8(t=13),M8(t=14),M8(t=15),M8(t=16),M8(t=17),M8(t=18),M8(t=19),M9(t=0),M9(t=1),M9(t=2),M9(t=3),M9(t=4),M9(t=5),M9(t=6),M9(t=7),M9(t=8),M9(t=9),M9(t=10),M9(t=11),M9(t=12),M9(t=13),M9(t=14),M9(t=15),M9(t=16),M9(t=17),M9(t=18),M9(t=19)
spread,spread,outbreak,covid,auto,nucleic,england,double,double,double,double,intelligent,intelligent,league,catholic,friends,halls,worst,protests,secondary,april,april,april,allowed,urges,milan,tourists,austria,passengers,guatemala,guatemala,appeared,significantly,biorxiv,line,surfaces,surfaces,claims,laboratory,samples,health,health,health,properly,problems,peak,light,plans,baghdad,baghdad,verified,doctor,doctor,notify,notify,publicly,publicly,coronavirus,network,makes,coronavirus,march,students,basketball,save,bank,coronavirus,cloth,candidate,cured,inspected,inspected,meant,fined,proven,cutting,destinations,destinations,advance,travellers,coronavirus,coronavirus,coronavirus,covid,public,cash,cash,representing,favipiravir,cup,cup,cup,attorney,locations,locations,natural,reiterated,oil,oil,temporary,china,china,passengers,south,stuck,coronavirus,coronavirus,wild,deliveries,sanctions,landing,landing,entrance,resumption,armed,world,coronavirus,country,province,doors,medical,medical,medical,basketball,bakeries,bakeries,czech,czech,ruled,crews,molecular,niaid,niaid,oxygen,gas,amid,drive,waste,waste,freight,covid,covid,covid,coronavirus,authority,gyeongsang,gyeongsang,spend,addressing,nasal,nasal,original,locally,dedicated,drinking,country,guard,street,google,google,government,government,government,government,covid,electricity,principal,principal,eua,detailed,call,partners,clusters,traveler,contract,app,sudan,accurate,avigan,heightened,prisoners,prisoners,png,directed,cameroon,weekends,arrested,mosques,meaning,limiting,wild,veterinary,accurate,tackling,tackling,malls,depart,nationality,solomon,iata
outbreak,outbreak,covid,risk,role,england,recover,investigations,solidarity,resulting,clinic,partner,counseling,noting,entrance,crowds,blocked,protests,consideration,consideration,march,march,march,spread,bodies,athletes,temporarily,georgia,travel,stranded,stranded,guatemala,delay,significantly,volunteer,democratic,instructions,lab,lab,intelligent,public,ministry,ministry,party,clock,capabilities,news,crowded,sentences,english,doctor,verified,verified,heightened,petrol,delhi,contaminated,schools,large,courses,march,coronavirus,march,games,texas,save,myanmar,included,surgeries,reaction,hopes,iceland,approval,approval,georgia,participated,pregnant,notified,examined,affairs,cases,health,health,public,cash,rent,representing,elective,investigational,collective,meter,ogun,concerts,consumption,natural,commerce,emergency,emergency,temporary,emergency,travel,travel,italy,spouses,command,virus,large,material,fraudulent,route,mar,resumption,resumption,pulled,rolled,important,spread,government,peru,manitoba,masks,masks,masks,bangladeshi,indefinite,ogun,indonesia,stranded,macau,ankara,favipiravir,wage,wage,participated,tax,moving,waste,environment,takes,technicians,patients,patients,coronavirus,covid,states,north,contagion,manager,wage,addressing,acid,barring,california,drinking,dedicated,guard,crowded,summit,november,green,pandemic,pandemic,pandemic,covid,government,covid,sets,receives,tracked,regularly,established,clusters,models,onset,recognition,stage,stage,referred,syndrome,assessment,access,alcohol,prisoners,disinfectant,civil,railway,recreational,activity,activity,told,limiting,underlying,brazilian,weekends,stricter,pubs,airways,iata,iata,suspicious
work,work,prevent,outbreak,version,immunity,double,england,hopes,patients,coronaviruses,southwest,preparation,catholic,league,catholic,museums,blocked,secondary,removed,announced,announced,coronavirus,days,south,meters,georgia,islands,airlines,repatriate,carrying,delay,leisure,specimens,democratic,instructions,updated,calls,intelligent,lab,ministry,public,prevention,mission,capabilities,associations,planned,supreme,german,moment,mobile,monitored,notify,smartphone,publicly,contaminated,institutes,public,disease,railway,due,due,school,federation,concerts,myanmar,measures,parts,improving,biorxiv,reaction,swab,proven,customers,approval,meant,filipino,advance,travellers,passengers,health,cases,covid,health,medicines,save,payment,soccer,channel,favipiravir,harold,harold,friends,urgent,warned,representing,customers,spread,emergency,spread,passengers,passengers,south,nam,card,patients,august,antibody,wild,internationally,nepali,entrance,pulled,safeguard,burial,committee,government,spread,country,province,health,care,protective,original,funerals,indefinite,federated,indonesia,israeli,advance,safeguard,fatality,fridays,bakeries,offer,customers,valid,indonesia,technicians,issuing,testing,coronavirus,patients,chinese,added,bahrain,bahrain,british,provisions,underlying,original,spreads,indoors,statistics,section,crowded,fear,bodies,green,pyongyang,canada,minister,minister,pandemic,outbreak,percent,clothing,memo,donald,acquired,shelters,infection,partners,definition,advisories,collection,chile,chile,accurate,syndrome,alcohol,refugee,alcohol,drones,directed,easter,easter,extending,mosques,wild,alternatives,survey,incubation,draft,malls,stricter,proof,depart,micronesia,solomon
order,order,order,general,notify,role,investigations,remdesivir,hospitalized,janeiro,patients,preparation,illnesses,festival,august,driver,prefecture,grocery,ogun,protests,government,government,announced,force,quarantined,ward,meters,travel,austria,consideration,travels,disaster,eu,entitled,efficacy,line,lab,evidence,assessment,immunity,covid,control,control,unwell,stakeholders,corp,plans,news,lift,rep,illness,illness,lung,lung,changing,dubai,identifying,disease,makes,reduction,outbreak,outbreak,games,football,mongolian,operations,parts,expenses,sustained,hopes,cured,passes,disruptions,proven,meant,strong,phones,middle,docking,overseas,february,february,people,including,pandemic,sales,employment,favipiravir,administered,investigational,argentina,attorney,cure,aimed,urgent,products,programs,april,spread,government,days,italy,iran,consulate,hardest,large,school,mosque,route,gilan,sanctions,nepali,disruption,class,spread,meeting,world,coronavirus,issued,country,care,health,care,rt,voted,operators,ogun,ankara,singapore,iranians,challenges,molecular,bakeries,tax,meant,volunteer,refused,meant,distributed,medical,test,test,test,based,issued,united,history,malaysians,proposed,loan,animal,adult,tournament,dead,health,health,african,wild,pyongyang,corona,minister,canada,million,minister,million,sets,electricity,consultations,memo,unemployment,plan,notify,managing,overcrowding,trials,maintain,reporting,sudan,heightened,detecting,stop,png,refugee,cameroon,visits,directed,availability,ramadan,fines,largest,animals,programme,draft,accurate,pubs,gas,effective,proof,kiribati,kiribati
emergency,prevent,part,prevent,nucleic,version,incubation,patients,resulting,method,intelligent,assigned,improved,trains,federated,prefecture,deemed,tonga,removed,announcement,measures,measures,people,flights,street,upper,travel,originating,stranded,carrying,sanitation,notes,stringent,comply,surfaces,hubs,hubs,laboratory,updated,laboratory,control,prevention,committee,maintain,terminals,specifically,german,crimes,undertaken,display,normal,jiangsu,heightened,doctor,sessions,fraudulent,coronavirus,gatherings,infection,explained,school,cancelled,held,commander,mozambique,social,ministry,pharmacy,throat,investigational,investigational,adjust,cost,meant,cover,niaid,changed,risks,affairs,isolation,people,people,outbreak,outbreak,deliver,countrywide,competition,channel,models,appeared,governorates,friends,berlin,attorney,survey,contract,suspends,municipalities,distancing,minister,countries,korea,china,federated,south,covid,mayor,consumption,assistant,sydney,coordinator,emilia,federated,rolled,mayor,coronavirus,outbreak,state,united,china,covid,protective,ventilators,reuse,weddings,serving,ankara,micronesia,helped,ruled,tenants,candidate,hardest,employed,cash,drive,handling,valid,issuing,takes,research,testing,testing,patients,united,contagion,spend,comprising,employed,version,alternatives,reaction,dead,awaiting,medical,medical,drones,drones,housing,november,emergency,emergency,support,outbreak,services,assessed,goggles,broad,failed,investigate,detailed,showed,notify,genetic,chloroquine,scope,accurate,update,medrxiv,avigan,png,thousands,wildlife,georgia,weekends,cameroon,automatically,samoa,cutting,announcement,task,ages,meat,exit,draft,freight,leisure,pilgrims,jakarta,sar
prevent,part,public,states,detection,changed,collected,collected,investigations,hospitalized,jiangsu,resulting,partner,upcoming,trains,halls,cuban,cuban,lagos,inmates,public,lockdown,quarantine,south,nationals,rome,china,departure,north,returnees,hospitalized,journal,journal,select,washing,managers,preparedness,assessment,december,goal,epidemic,measures,information,stressed,pledged,problems,scheme,disinfecting,disinfecting,passports,epidemic,clusters,traditional,tightened,drones,notify,double,covid,scale,targeted,schools,schools,concerns,palace,bank,involving,government,surgeries,unemployment,candidate,specimens,reside,bodies,disruptions,decree,connect,risks,defer,kingdom,china,confirmed,confirmed,february,country,video,benefit,soccer,cup,artificial,integrated,investigational,meter,owners,owners,purchases,trump,duration,percent,requested,spokesman,italy,days,korea,visa,spouses,outbreak,late,stresses,occupational,influx,advance,coordinator,class,constitutional,arrangements,spread,people,province,manitoba,peru,equipment,equipment,equipment,fitness,zimbabwe,zimbabwe,macau,rule,rule,helped,autonomous,swab,demanding,programme,amid,prices,dead,evolving,samoa,nepal,clinical,clinical,treatment,testing,chinese,march,british,rent,letter,map,thirds,indoors,awaiting,locally,practice,southern,street,specialized,tier,street,million,million,prime,million,work,million,sanitizer,goggles,acquired,red,centre,tracking,context,ebola,problem,sudan,referred,cruises,pose,indian,thousands,bodies,refugees,refugees,responded,recreational,mosques,announcing,cinemas,tokyo,meter,networks,tackling,nighttime,fridays,overnight,respecting,daegu,nationality,kalutara
pandemic,states,spread,issued,levels,recover,acid,hopes,figure,authors,lung,widely,carnival,funeral,driver,cultural,outdoor,deemed,halls,summit,closed,state,spread,country,signs,street,athletes,transport,japan,justice,interior,anti,republic,hajj,ministerial,washing,protect,december,immunity,updated,prevention,covid,measures,sustained,saskatchewan,accept,corp,feet,king,outbound,monitored,definition,phone,drones,learning,identifying,public,large,virus,infection,spread,school,cancelled,organizers,activities,wednesday,existing,formal,accurate,specimens,thirty,bosnia,efficacy,provision,janeiro,investigational,context,app,defer,february,virus,virus,cases,prevent,including,representing,income,adjust,representing,summit,summit,argentina,appeared,warned,small,distribute,distribute,duration,maximum,president,korea,iran,travel,nearest,travelers,city,half,spots,biorxiv,advance,gilan,transiting,emilia,federated,duty,information,public,medical,china,health,hospitals,hospitals,million,corporation,exams,funerals,visas,macau,ankara,defer,defer,sustained,sanctioned,representing,export,delivered,ventilator,afghanistan,medical,samoa,study,drug,chinese,treatment,country,february,evacuate,hajj,payments,letter,specimens,reopen,original,government,obtaining,arrive,png,tier,street,grow,support,support,emergency,support,minister,included,seniors,tracked,unemployment,eua,infection,plan,showed,believes,onset,reporting,confront,managed,experimental,register,spread,stop,thousands,refugee,crucial,availability,observing,holiday,holiday,today,postpone,efficacy,survey,material,nightly,easing,usa,transited,suspicious,vanuatu
part,general,including,public,mechanism,notify,promising,acute,identify,identify,resulting,lung,soccer,soccer,outdoor,announcement,august,museums,romagna,wave,state,flights,flights,nationals,french,comprising,family,ismail,france,koreans,thought,completely,anti,journal,guidelines,preparedness,issued,placing,evidence,advance,national,epidemic,epidemic,prevention,unwell,sentences,crowded,king,premises,wild,risk,fever,clusters,petrol,ordering,institutes,delhi,virus,doctor,academic,students,students,schools,army,learning,elderly,designated,unemployment,pharmacy,sample,swab,efficacy,spending,retail,globally,records,strong,georgia,arab,kingdom,quarantine,covid,virus,government,support,correctional,benefit,employment,adequate,models,collective,appeared,illegal,purchases,market,percent,municipalities,delivery,food,trump,iran,south,kong,korea,nucleic,plans,contaminated,white,sanctions,lift,entrance,semester,bring,organizing,outbreak,years,february,march,health,february,protective,supplies,hospitals,terminals,ogun,leisure,operators,checkpoints,czech,consulate,sustained,eventually,tenants,asks,single,waste,environment,doctors,faced,covid,coronavirus,study,drug,japanese,containment,chinese,saudi,history,manager,waste,thai,nasal,americans,doctors,note,drinking,summit,avoiding,athletes,suggesting,food,prime,food,emergency,percent,production,quality,players,rent,program,information,potential,definition,advisories,uncertainty,transmission,app,physicians,cruises,entry,refugee,access,bodies,occupational,availability,arrested,suspicious,delivery,deliver,due,men,targeted,sufficient,beaches,weekends,recreational,serbia,solomon,fish,traveler
services,covid,states,order,detailed,acid,antibody,admitted,remdesivir,solidarity,collected,therapeutics,figures,coronavirus,crowds,converted,populous,ogun,breaking,link,lockdown,public,government,quarantine,included,mayor,islands,samoa,islands,carnival,completed,interior,entertainment,ii,claiming,updated,detection,patients,samples,recovered,measures,information,international,counseling,israelis,won,covered,sentences,written,switzerland,procedures,notify,shown,publicly,items,centers,situations,scale,railway,solutions,cancelled,events,due,concerts,federation,learning,operations,designated,cloth,plasma,efficacy,autonomous,costs,malaysians,ages,fridays,asks,aggressive,united,docking,china,symptoms,country,work,canada,lost,regulated,summit,cup,manner,sydney,summit,fewer,internet,announce,suspends,quickly,fines,palestinian,informed,south,countries,issued,issued,policies,people,death,cut,mosque,hub,internationally,league,checked,disruption,senior,groups,information,united,government,restrictions,supplies,face,beds,latvia,curfews,exams,observe,federated,advance,israelis,crews,unemployment,employed,hardest,food,cut,lack,materials,freight,commonwealth,drug,vaccine,clinical,test,covid,home,examined,romania,overcrowding,asylum,churches,animal,violation,regulated,guard,practice,organizing,png,grow,festival,response,canadians,canada,federal,emergency,grant,consultations,handed,evolving,complex,partners,chicago,kit,rome,kiribati,older,update,responses,detecting,ships,today,trade,selling,class,players,ukraine,weekends,easing,easing,firms,groups,creation,volunteers,artificial,beaches,pools,visas,jakarta,puttalam,puttalam
