M0(t=0),M0(t=1),M0(t=2),M0(t=3),M0(t=4),M0(t=5),M0(t=6),M0(t=7),M0(t=8),M0(t=9),M0(t=10),M0(t=11),M0(t=12),M0(t=13),M0(t=14),M0(t=15),M0(t=16),M0(t=17),M0(t=18),M0(t=19),M1(t=0),M1(t=1),M1(t=2),M1(t=3),M1(t=4),M1(t=5),M1(t=6),M1(t=7),M1(t=8),M1(t=9),M1(t=10),M1(t=11),M1(t=12),M1(t=13),M1(t=14),M1(t=15),M1(t=16),M1(t=17),M1(t=18),M1(t=19),M2(t=0),M2(t=1),M2(t=2),M2(t=3),M2(t=4),M2(t=5),M2(t=6),M2(t=7),M2(t=8),M2(t=9),M2(t=10),M2(t=11),M2(t=12),M2(t=13),M2(t=14),M2(t=15),M2(t=16),M2(t=17),M2(t=18),M2(t=19),M3(t=0),M3(t=1),M3(t=2),M3(t=3),M3(t=4),M3(t=5),M3(t=6),M3(t=7),M3(t=8),M3(t=9),M3(t=10),M3(t=11),M3(t=12),M3(t=13),M3(t=14),M3(t=15),M3(t=16),M3(t=17),M3(t=18),M3(t=19),M4(t=0),M4(t=1),M4(t=2),M4(t=3),M4(t=4),M4(t=5),M4(t=6),M4(t=7),M4(t=8),M4(t=9),M4(t=10),M4(t=11),M4(t=12),M4(t=13),M4(t=14),M4(t=15),M4(t=16),M4(t=17),M4(t=18),M4(t=19),M5(t=0),M5(t=1),M5(t=2),M5(t=3),M5(t=4),M5(t=5),M5(t=6),M5(t=7),M5(t=8),M5(t=9),M5(t=10),M5(t=11),M5(t=12),M5(t=13),M5(t=14),M5(t=15),M5(t=16),M5(t=17),M5(t=18),M5(t=19),M6(t=0),M6(t=1),M6(t=2),M6(t=3),M6(t=4),M6(t=5),M6(t=6),M6(t=7),M6(t=8),M6(t=9),M6(t=10),M6(t=11),M6(t=12),M6(t=13),M6(t=14),M6(t=15),M6(t=16),M6(t=17),M6(t=18),M6(t=19),M7(t=0),M7(t=1),M7(t=2),M7(t=3),M7(t=4),M7(t=5),M7(t=6),M7(t=7),M7(t=8),M7(t=9),M7(t=10),M7(t=11),M7(t=12),M7(t=13),M7(t=14),M7(t=15),M7(t=16),M7(t=17),M7(t=18),M7(t=19),M8(t=0),M8(t=1),M8(t=2),M8(t=3),M8(t=4),M8(t=5),M8(t=6),M8(t=7),M8(t=8),M8(t=9),M8(t=10),M8(t=11),M8(t=12),M8(t=13),M8(t=14),M8(t=15),M8(t=16),M8(t=17),M8(t=18),M8(t=19),M9(t=0),M9(t=1),M9(t=2),M9(t=3),M9(t=4),M9(t=5),M9(t=6),M9(t=7),M9(t=8),M9(t=9),M9(t=10),M9(t=11),M9(t=12),M9(t=13),M9(t=14),M9(t=15),M9(t=16),M9(t=17),M9(t=18),M9(t=19)
general,access,risk,including,reaction,waiting,nucleic,results,janeiro,mortality,authors,clinic,jointly,crowds,schools,reopened,indoor,secondary,grocery,affect,country,covid,country,emergency,visiting,pyongyang,pyongyang,apply,originating,airlines,disaster,aggressive,completely,volunteer,entitled,issued,crucial,throat,patients,assessment,information,national,guidance,problems,fourteen,breathing,wider,ability,meetings,philippines,risks,airport,moderate,viruses,draft,changing,doctor,week,coronavirus,network,home,scheduled,outbreak,chongqing,social,government,involving,advice,hhs,inspected,bosnia,plasma,japanese,grants,participated,targeting,georgia,changed,passengers,indian,symptoms,wuhan,symptoms,situation,covid,affecting,earliest,earliest,elective,simple,ogun,concerts,locations,cure,educational,companies,percent,temporary,april,affairs,nationals,nationals,nationals,iran,wuhan,wuhan,pilot,size,hub,fraudulent,monitored,prefecture,entities,kazakhstan,dozens,outbreak,country,public,public,coronavirus,million,million,production,donating,operators,czech,stranded,reconsider,asian,autonomous,niaid,salaries,lost,demanding,stock,driving,settings,faced,logistics,dealing,virus,treatment,disease,drug,effective,coming,plane,representative,rent,tool,underlying,locally,spreads,california,reporting,staff,practice,housing,avoiding,games,outbreak,food,response,workers,federal,funding,handed,evolving,allocate,average,group,commission,pneumonia,recognition,app,update,checkpoints,protocol,link,framework,taking,refugees,disinfectant,drive,occupational,postponing,samoa,deliver,largest,leaders,committed,mitigation,recovery,link,exit,prohibition,azerbaijan,visas,technologies,counseling
risk,emergency,general,cdc,establishing,referred,concluded,solidarity,patients,incubation,assigned,october,therapeutics,hands,adhere,adhere,tonga,turned,option,grocery,authorities,country,state,children,kuwait,undertaken,transport,airlines,beijing,beijing,found,approved,leone,efficacy,misinformation,detection,information,preparedness,placing,detection,community,guidelines,entry,engaged,engaged,light,controlled,agreement,terms,hold,check,condition,smartphone,learning,dubai,petrol,answer,spread,targeted,doctor,scheduled,concerns,coronavirus,league,station,chile,february,ages,moderate,proven,resource,humans,pilgrims,spending,written,globally,defer,records,destinations,monitored,wuhan,china,national,response,meet,payment,lost,understand,imaging,li,appeared,volunteer,consumption,contract,contract,customers,food,food,social,affected,allowed,enter,days,bound,pacific,testing,city,columbia,crucial,resort,secured,pulled,book,mayor,urge,russian,covid,states,loosening,government,face,workers,term,sudan,enforcing,tightening,tightening,incident,checkpoints,basketball,ruled,therapies,unemployment,challenges,delivered,normal,takes,settings,supplies,cards,vaccine,research,vaccine,disease,coronavirus,european,advisories,advisories,obtaining,obtaining,lead,churches,hopes,dozens,formula,province,change,febraury,giant,fair,president,response,canadians,prime,companies,companies,commerce,seniors,equivalent,influenza,influenza,expanded,experts,gilan,workplace,based,units,apri,apri,channel,order,rules,civil,post,protection,encouraged,cinemas,establishments,regulator,employees,coordinate,agents,coordinating,underlying,link,restaurants,weddings,reside,halls,transited
service,risk,issued,national,inform,incubation,experimental,recover,fatality,coronaviruses,physician,strategies,evolving,august,halted,ahead,crowds,halls,museums,attend,coronavirus,closed,days,home,numbers,contagion,milan,sweden,departure,threat,big,big,comply,responsible,venezuela,communication,development,importation,assistant,evidence,guidelines,community,community,stakeholders,gilan,covered,participants,morning,employed,suspend,corona,tehran,preliminary,sessions,recreation,participated,possibly,test,schools,stem,concerns,spread,canceled,mongolian,driver,natural,security,level,marshall,resource,biorxiv,consulate,corporation,deploy,works,mitigation,approval,examined,kuwait,chinese,covid,outbreak,including,senior,work,owners,cup,olympics,li,sequences,simple,ministerial,manner,affecting,cut,promised,representing,requested,municipalities,white,enter,kong,level,lebanon,route,scale,spread,won,sydney,nature,purchasing,moroccan,olympic,cut,reinforce,secretary,state,emergency,restrictions,applies,workers,covid,ontario,contract,laos,federated,funerals,vietnamese,stranded,micronesia,fatality,challenges,oxygen,bars,employed,tax,indonesia,batch,battling,transfer,disease,disease,published,diseases,days,guangzhou,milan,mission,white,aged,estimate,meals,deaths,section,seek,ways,bodies,cup,specialized,art,canadians,president,federal,work,prime,development,receives,equivalent,broad,consultation,reduce,experts,platform,poor,palestinian,rapidly,heightened,understanding,coronaviruses,apri,service,civil,directed,civil,hand,civil,existing,amount,dates,mass,mitigation,cells,underlying,physicians,sundays,saturdays,gas,airways,transited,landing
authority,services,work,persons,referred,establishing,viruses,test,assigned,collected,experience,regulation,psychological,spectators,sporting,gradually,reopened,replaced,august,due,covid,coronavirus,emergency,april,force,heading,recommend,adjust,live,consular,beijing,hospitalized,guatemala,spent,dynamics,development,calls,source,importation,patients,issued,guidance,party,political,vigilant,bed,fears,scheme,suspend,policies,authority,corona,sampling,movements,tightened,opposition,sense,april,accelerate,distributed,events,held,events,station,operations,granted,began,israel,formal,throat,obtaining,passports,pharmaceutical,wild,enable,ogun,records,filipino,kiribati,list,tested,tested,city,coronavirus,supply,soccer,lebanese,faced,sequences,calendar,driver,nurseries,summit,figure,aimed,urgent,oil,reiterated,banks,million,foreign,allowed,countries,command,nearest,death,week,letter,disruption,candidates,nature,veneto,safeguard,moroccan,students,february,march,people,states,israeli,government,beds,ppe,announce,residency,observe,nonessential,visas,uae,macau,tracked,safeguard,sundays,gas,representing,refused,customers,ventilator,evolving,memo,published,virus,based,phase,ministry,avoid,north,taiwanese,lost,thirds,lopinavir,california,jordanian,britain,exhibiting,ships,ways,prevented,drones,organisers,social,billion,covid,response,approved,federal,respirators,tenants,figure,donald,notify,ncov,suggest,syndrome,syndrome,laboratory,ambulances,pose,fall,fail,trade,rights,nigeria,responded,manufactured,masks,technical,meaning,jakarta,companies,cancel,revised,suggest,mitigate,underlying,beaches,diplomatic,arrival,proof,micronesia
access,pandemic,access,practice,participants,reaction,acute,specialist,method,lung,shortness,procurement,noting,figures,spectators,blocked,expire,removed,blocked,learning,essential,authorities,measures,march,stop,traveled,south,china,zhejiang,thought,completely,seeking,apri,medications,spent,scientific,response,makes,highly,cold,committee,committee,advice,ethiopian,continuous,scheme,late,play,shopping,operators,centre,case,conducting,stem,heightened,bus,declares,prevent,reduction,body,police,event,event,spring,establishments,president,chile,interior,sciences,convalescent,transmissions,belgium,tens,goods,cutting,google,breaking,ncov,resident,examined,city,quarantine,government,services,policy,elective,sales,investigational,consultations,ministerial,ending,nsw,senegal,lessons,weeks,programs,believed,weeks,business,business,hong,hong,hong,travelers,empty,spread,move,meant,traveler,secured,remotely,concentration,festival,boarding,resumption,epidemic,meeting,health,residents,loosening,production,ontario,supplies,quality,nighttime,foot,category,noting,hold,indians,candidates,sized,challenges,niaid,ontario,valid,delivered,intended,maldives,questionnaire,researchers,published,study,published,phase,contacted,italy,possibility,aged,employment,awaiting,veterinary,catholic,emergency,planes,neighbouring,drinking,delay,summit,giant,canadian,outbreak,outbreak,companies,workers,principal,procurement,sanitizer,analyzed,campaigns,watch,heavy,potential,contract,titled,provided,scope,avigan,journal,fall,rules,today,online,calls,disinfectant,purchased,ramadan,leisure,limiting,school,locations,directions,ai,nightly,loosening,nightly,apri,kcdc,molecular,maintained
states,service,department,efforts,adults,undergoing,remdesivir,identify,reagents,clinic,hospitalized,investigational,code,rescheduled,advising,egypt,friends,western,worst,serving,spread,people,covid,travel,requested,believed,departure,leone,china,repatriated,advance,license,civil,ministerial,contingency,volunteer,national,suspicious,comprehensive,importation,risk,monitoring,contact,clock,exchange,asks,trains,german,animals,usa,february,referred,relatives,framework,sierra,venezuela,viruses,called,body,accelerate,week,postponed,organizers,athletes,chile,ministry,public,ministry,ages,load,shop,delegations,immune,approved,qualified,filipino,flexibility,networks,indian,travelled,country,city,minister,ensure,provide,directions,rent,sanctions,accurate,corps,nsw,globally,meter,discussed,july,food,trump,effect,effect,requested,apply,apply,visa,travellers,lebanon,tested,due,route,reinforce,lopinavir,resort,flying,delayed,book,coughing,rolled,authorities,february,february,airports,personal,government,kits,excluded,cinemas,cinemas,missions,emilia,noting,administered,administered,thought,shop,volunteer,driving,gas,earliest,handling,islands,micronesia,treatment,researchers,virus,clinical,medical,korean,comprising,immigration,malaysians,potentially,developed,lower,adult,unable,febraury,family,email,wildlife,rescheduled,organizing,billion,economic,workers,provide,support,types,memo,clothing,mouth,tackling,clusters,testing,volunteers,ai,shift,readiness,won,stage,characteristics,updated,bodies,wildlife,statement,manufactured,nigeria,education,colombo,cinemas,reduction,operations,spreads,joined,mitigate,outbound,prohibition,respecting,donald,maintained,maintained,vigilant
civil,department,health,department,changed,reason,treating,incubation,swabs,humans,turned,counseling,goggles,chairman,friends,postponement,burial,serving,serving,august,flights,essential,allowed,iraq,passengers,recommend,apply,passengers,georgia,passes,repatriate,month,disaster,updated,ii,information,support,updated,infection,treated,cdc,cdc,ports,situation,properly,purchasing,company,controlled,crowded,frequently,notify,signs,specimens,relatives,closes,draft,centers,institutes,moderate,ma,year,home,football,deploy,original,minister,bank,security,load,bosnia,failed,nationality,effects,pilgrims,strongly,ages,decree,affairs,ncov,united,authorities,hospital,wuhan,meet,engaged,competition,save,massachusetts,genome,visitor,depending,rescheduled,harold,berlin,profit,quickly,orders,customers,bill,people,quarantine,japan,enter,arrival,patients,found,patients,selling,pharmaceuticals,coordinator,influx,docking,pilgrimage,armed,fake,radio,weeks,service,international,thermometers,staff,personal,face,travels,soccer,prohibition,denmark,calling,visitors,relations,delegations,tenants,algerian,fridays,volunteer,meant,hotline,medical,afghanistan,maldives,sars,university,university,report,based,authority,passengers,stuck,contractors,donate,philippine,acid,medicines,located,staff,routes,tier,green,lebanese,tier,economic,federal,president,food,pandemic,distribution,shields,criminal,tenants,stakeholders,data,influenza,gilan,edition,vaccine,safety,assessment,assessment,update,regard,employees,enforcement,enforcement,nigeria,railway,players,boost,partial,nurseries,cutting,survey,suggested,joined,fridays,book,bars,violate,diplomats,vanuatu,halls
statement,civil,services,spread,acting,academy,results,jiangsu,incubation,doctors,partnership,memo,festival,football,funeral,entrance,questionnaire,lagos,chancellor,tournament,people,restrictions,home,entry,france,dutch,large,transit,ismail,man,license,dominica,ii,submitted,updated,moh,scientific,recommendations,notes,december,guidance,recommendations,guidelines,vigilant,chongqing,scope,experts,create,crimes,minimum,guam,policies,evaluation,limiting,attendance,vice,bus,publicly,academic,suggests,city,year,league,learning,prayers,activities,made,serve,specimens,humans,candidate,lithuania,sample,emergency,mitigation,wild,notified,advanced,travelled,screening,case,country,hospital,people,affecting,stores,wage,essentials,suggests,kalutara,corps,recreation,swiss,fewer,celebrations,duration,fines,palestinian,million,bill,kong,foreign,apply,level,created,move,fast,deliver,consumption,biorxiv,stationed,gilan,kazakhstan,salaries,accompanied,burial,russian,outbreak,doors,issued,hospital,hospital,health,critically,nightclubs,papua,indefinite,armenia,indonesia,maker,wage,favipiravir,fallout,failing,donated,bars,doctors,supplies,masks,charge,institute,developed,developed,study,international,china,warning,charter,inmates,dna,manufactured,awaiting,lower,americans,ships,fear,sanctions,guard,phones,latest,prime,provide,provide,people,expected,critical,gowns,donald,completion,evolving,members,information,role,probable,accommodation,controls,heilongjiang,suspect,sample,occupational,online,selling,council,resumption,involving,postponed,amount,operated,serving,fines,suggested,inspections,ready,unclear,indefinite,airways,nationality,cards,federated,advanced
working,issued,measures,medical,cdc,investigations,cure,hospitalized,effectiveness,partnership,incubation,innovation,yuan,collective,cultural,schools,awaiting,burial,violators,deemed,remain,remain,lockdown,residence,korean,febraury,guam,switzerland,european,austria,consular,stringent,aviation,washing,swabs,resources,messages,system,pneumonia,recover,disease,including,public,raising,sustained,scenario,called,cars,resumption,covering,display,docked,jiangsu,traditional,limiting,link,person,makes,prevent,heading,employees,canceled,conference,break,commander,measures,places,applied,sample,experimental,load,outbound,figure,bodies,shop,cure,poor,approval,monitored,ncov,positive,ministry,ministry,ministry,sales,lebanese,olympics,shipment,visitor,suggesting,friends,prohibiting,ministerial,mitigate,attorney,release,commerce,million,wide,pose,japan,arriving,japan,taiwan,status,chinese,antibody,establishment,palace,aware,bahraini,airways,spring,dozens,situation,weeks,united,regions,applies,ministry,capacity,production,workers,armenia,czech,missions,armenia,malaysians,malaysia,landed,protecting,chloroquine,formula,automatically,companies,toll,uk,canadian,laos,meet,cov,data,diseases,effective,required,tourists,transited,marshall,opposition,unwell,bio,individuals,dozens,games,enters,asked,neighbouring,camps,games,game,federal,social,economic,services,products,products,manufacturer,unemployment,receives,sources,testing,data,traveler,sequences,entitled,specific,learn,syndrome,lower,version,plans,service,prison,wildlife,buses,absolutely,add,retail,imports,locations,size,lung,information,malls,monthly,loosening,pools,approval,targets,electricity
reduce,high,efforts,launched,waiting,wider,jiangsu,cured,collected,experience,newly,improved,league,palace,minimum,outdoor,postponement,maldives,vehicle,suspension,restrictions,spread,authorities,enter,high,brought,saskatchewan,entry,guam,tourist,journal,asian,approved,fraudulent,notified,participants,organisation,suspected,identified,pneumonia,including,disease,monitor,pakistan,don,loans,network,concerns,nepali,vietnam,policies,preliminary,publicly,visits,gathered,situations,spots,early,data,mode,people,world,sports,fans,involving,texas,granted,humanitarian,medrxiv,cure,humans,czechia,smart,cover,retail,contributed,lead,authorization,aviation,iran,hospital,case,confirmed,hospitals,program,commander,faced,price,convalescent,arranged,pulled,don,rescheduled,lost,fuel,market,spread,critical,pose,requests,arriving,singapore,rep,passengers,guam,hospital,spots,traditional,protecting,nationality,emilia,returnees,shelter,shelter,manner,search,al,authorities,medical,yesterday,ontario,ventilators,hospital,sold,leisure,macau,papua,permanent,beijing,fourteen,asymptomatic,lancet,candidate,sundays,men,indonesia,evolving,proper,funds,masks,university,human,national,human,cross,warning,romania,gyeongsang,version,intends,reaction,revised,emergency,yuan,professionals,members,court,african,art,stepped,months,canadian,canadian,canada,response,expanded,evolving,connect,players,qr,eu,diseases,edition,models,average,corona,monitoring,onset,breath,entertainment,council,order,drones,organisations,class,visits,cameroon,fines,fish,student,companies,size,sites,indefinite,frequently,ai,laos,umrah,alongside,moresby
department,called,pandemic,part,launched,hardest,qualified,promising,expand,nasal,widely,sets,screen,observing,converted,traveled,serving,shortly,affect,involving,suspended,suspended,day,visit,fast,driver,leone,spain,travellers,rise,travellers,found,islands,stringent,scientific,plan,technology,infection,technical,contagious,efforts,risk,risk,control,scope,volunteer,began,emerged,adjusted,check,ncov,contacts,confirmation,severity,situations,sierra,turn,network,gatherings,large,world,employees,army,television,basketball,began,president,drive,expenses,answer,plasma,sample,morbidity,shelter,missions,flexibility,targeting,docking,list,days,province,chinese,home,national,rent,regulated,directions,li,understand,delegation,luanda,lagos,save,contribute,lessons,weeks,products,life,requests,prime,singapore,issued,singapore,kong,tested,expected,start,pulled,equivalent,equivalent,nsw,secured,influx,bring,employees,platforms,measures,amid,essential,day,beds,kits,frontline,capacities,observe,nonessential,inbound,disruptions,voluntary,december,corporation,unveiled,prayers,export,moving,resuming,services,takes,rumors,supplies,data,treat,research,university,including,uk,arabia,affairs,coastal,philippine,intends,compounds,dedicated,catholic,forces,passengers,physician,organizing,organizing,cancel,economy,months,months,president,provide,ventilators,suits,reuse,hospitalization,claimed,states,fight,fight,uncertainty,college,people,category,lower,incubation,information,law,nigeria,rights,buses,distributing,opening,postponed,million,truck,internet,veterinary,ventilation,answer,questions,easing,puttalam,approval,jordan,origin,undergoing
